,,,,,,,,Input Method,Input Method,"Web Fonts
",Web Fonts,"            i18n support (plurals, gender, grammar)",Language Selector,"            i18n support (plurals, gender, grammar)",Translation,Translation Aids,Translation Aids,Translation Aids
kgp,kgp,,Kaingang,Kaingáng,,,,,,,,,✔,,✔,,,
khm,km,,Central Khmer,ភាសាខ្មែរ,km,,,,,,✔,,✔,,✔,,,
khw,khw,,Khowar,کھوار,,X,,,,,,,✔,,✔,,,
kik,ki,,Kikuyu; Gikuyu,Gĩkũyũ,ki,,,,,,,,✔,,✔,,,
kin,rw,,Kinyarwanda,Kinyarwanda,rw,,,,,,,,✔,,✔,,,
kir,ky,,Kyrgyz,Кыргызча,ky,,,,,,,,✔,,✔,,,
kiu,kiu,,Kirmanjki,Kırmancki,,,,,,,,,✔,,✔,,,
koi,koi,,Komi-Permyak,Перем Коми,koi,,,,,,,,✔,,✔,,,
kom,kv,,Komi,коми,kv,,,,,,,,✔,,✔,,,
kon,kg,,Kongo,Kongo,kg,,,,,,,,✔,,✔,,,
kor,ko,,Korean,한국어,koi,,,,,,,,✔,,✔,,,
kor-kp,ko-kp,,,한국어 (조선),,X,,,,,,,✔,,,,,
krc,krc,,Karachay-Balkar,къарачай-малкъар,krc,,,,,,,,✔,,✔,,,
kri,kri,,Krio,Krio,,X,,,,,,,✔,,✔,,,
krj,krj,,Kinaray-a,Kinaray-a,,X,,,,,,,✔,,✔,,,
krl,krl,,Karelian,Karjala,,,,,,,,,✔,,✔,,,
ksf,ksf,,Bafia,Bafia,,,,,,,,,✔,,✔,,,
ksh,ksh,,Kölsch,Ripoarisch,ksh,,,,,,,,✔,,✔,,,
kua,kj,,Kwanyama,Kwanyama,,,,,,,,,✔,,✔,,,
kur,ku,✔,Kurdish,Kurdî,"ku-Latn
ku-Arab",,,,,,,,✔,,✔,,,
kur-arab,ku-arab,,,كوردي,,,,,,,,,✔,,✔,,,
kur-latn,ku-latn,,,Kurdî,,,,,,,,,✔,,✔,,,
lad,lad,,Ladino,Ladino,lad,,,,,,,,✔,,✔,,,
lad-hebr,lat-hebr,,,לאדינו,,,,,,,,,✔,,✔,,,
lad-latn,lad-latn,,,Ladino,,,,,,,,,✔,,✔,,,
lao,lo,,Lao,ລາວ,lo,,,,✔,,,,✔,,✔,,,
lat,la,,Latin,Latina,la,,,,,,,,✔,✔,✔,,,
lav,lv,✔,Latvian,latviešu,lv,,,,,,,,✔,,✔,,,
lbe,lbe,,Lak,лакку,lbe,,,,✔,,,,✔,,✔,,,
lez,lez,,Lezghian,лезги,lez,,,,✔,,,,✔,,✔,,,
lfn,lfn,,Lingua Franca Nova,Lingua Franca Nova,,,,,,,,,✔,,✔,,,
lij,lij,,Ligurian,Ligure,lij,,,,,,,,✔,,✔,,,
lim,li,,Limburgan,Limburgs,li,,,,,,✔,,✔,,✔,,,
lin,ln,,Lingala,lingála,ln,,,,,,,,✔,,✔,,,
lit,lt,,Lithuanian,lietuvių,lt,,,,,,,,✔,,✔,,,
liv,liv,,Livonian,Līvõ kēļ,,X,,,,,,,✔,,✔,,,
lld,lld,,Ladin,Ladin,,,,,,,,,✔,,✔,,,
lmo,lmo,,Lombard,lumbaart,lmo,,,,,,,,✔,,✔,,,
loz,loz,,Lozi,Silozi,,X,,,,,,,✔,,✔,,,
ltg,ltg,,Latgalian,latgaļu,ltg,,,,,,,,✔,,✔,,,
ltz,lb,,Luxembourgish,Lëtzebuergesch,lb,,,,,,✔,,✔,,✔,,,
lug,lg,,Ganda,Luganda,lg,,,,,,,,✔,,✔,,,
lus,lus,,Mizo,Mizo ţawng,,X,,,,,,,✔,,✔,,,
lzh,lzh,,Literary Chinese,文言,,,,,,,,,✔,,✔,,,
lzz,lzz,,Laz,Lazuri,,,,,,,,,✔,,✔,,,
mah,mh,,Marshallese,Ebon,,,,,,,,,✔,,✔,,,
mai,mai,,Maithili,मैथिली],,X,,,✔,,✔,,✔,,✔,,,
mal,ml,,Malayalam,മലയാളം,ml,,,✔,✔,✔,✔,✔,✔,✔,✔,,,
mar,mr,,Marathi,मराठी,mr,,,,,,✔,,✔,,✔,,,
mdf,mdf,,Moksha,мокшень,mdf,,,,,,,,✔,,✔,,,
mfe,mfe,,Morisyen,Morisyen,,,,,,,,,✔,,✔,,,
mhr,mhr,,Eastern Mari,олык марий,mhr,,,,,,,,✔,,✔,,,
mic,mic,,Micmac,Mi'kmaq,,,,,,,,,✔,,✔,,,
min,min,,Minangkabau,Baso Minangkabau,,X,,,,,,,✔,,✔,,,
mkd,mk,,Macedonian,македонски,mk,,,,,,,,✔,,✔,,,
mlg,mg,✔,Malagasy,Malagasy,mg,,,,,,,,✔,,✔,,,
mlt,mt,,Maltese,Malti,mt,,,,,,,,✔,,✔,,,
mon,mn,✔,Mongolian,монгол,mn,,,,✔,,,,✔,,✔,,,
mri,mi,,Maori,Māori,mi,,,,,,✔,,✔,,✔,,,
mrj,mrj,,Westrn Mari,кырык мары,mrj,,,,,,,,✔,,✔,,,
msa,ms,✔,Malay,Bahasa Melayu,ms,,,,,,✔,,✔,,✔,,,
mui,mui,,Musi,Musi,,,,,,,,,✔,,✔,,,
mus,mus,,Creek,Mvskoke,,,,,,,,,✔,,✔,,,
mwl,mwl,,Mirandese,Mirandés,,,,,,,,,✔,,✔,,,
mwv,mwv,,Mentawai,Behase Mentawei,,,,,,,,,✔,,✔,,,
mya,my,,Burmese,မြန်မာဘာသာ,my,,,,✔,,✔,,✔,,✔,,,
myv,myv,,Erzya,эрзянь,myv,,,,,,,,✔,,✔,,,
mzn,mzn,,Mazanderani,مازِرونی,mzn,,,,,,,,✔,,✔,,,
nah,nah,✔,Nahuatl Languages,Nāhuatl,nah,,,,,,,,✔,,✔,,,
nan,zh-min-nan,,Min Nan Chinese,Bân-lâm-gú,nan,,,,,,,,✔,,✔,,,
nap,nap,,Neopolitan,Nnapulitano,nap,,,,,,,,✔,,✔,,,
nau,na,,Nauru,Dorerin Naoero,na,,,,,,,,✔,,✔,,,
nav,nv,,Navajo,Diné bizaad,nv,,,,,,,,✔,,✔,,,
ndo,ng,,Ndonga,Oshiwambo,ng,,,,,,,,✔,,✔,,,
nds,nds,,Low Saxon,Plattdüütsch,nds,,,,,,,,✔,,✔,,,
nds-nl,nds-nl,,Low Saxon (Netherlands),Nedersaksies,,,,,,,,,✔,,✔,,,
new,new,,Nepal Bhasa/Newari,नेपाल भाषा,new,,,,✔,,,,✔,,✔,,,
niu,niu,,Niuean,ko e vagahau Niuē,,X,,,,,,,✔,,✔,,,
njo,njo,,Ao Naga,Ao,,,,,,,,,✔,,✔,,,
nld,nl,,Dutch,Nederlands,nl,,,,,,✔,,✔,,✔,,,
nld-informal,nl-informal,,,Nederlands (informeel),,X,,,,,,,✔,,✔,,,
nno,nn,,Norwegian (Nynorsk),norsk (nynorsk)‎,nn,,,,✔,,,,✔,,✔,,,
NO-ISO-CODE1,map-bms,,,Basa Banyumasan,map-mbs,,,,,,,,✔,,✔,,,
NO-ISO-CODE2,nrm,,Nouormand,Nouormand,nrm,,,,,,,,✔,,✔,,,
NO-ISO-CODE3,roa-tara,,Tarantino,tarandíne,roa-Tara,,,,,,,,✔,,✔,,,
NO-ISO-CODE4,simple,,English (Simple version),Simple English,en,,,,,,,,,,✔,,,
NO-ISO-CODE5,tokipona,,Toki Pona,Toki Pona,,,,,,,,,✔,,,,,
NO-ISO-CODE6,mo,,Moldovan,молдовеняскэ,mo,,,,,,,,✔,,✔,,,
